id,oplocdistrict,industryphy,industryco,opscope,enttype,enttypeitem,state,orgid,jobid,adbusign,townsign,regtype,empnum,compform,parnum,exenum,opform,venind,enttypeminu,protype,oploc,regcap,reccap,forreccap,forregcap,congro,enttypegb,opfrom_year,opto_year,diff_year,oploc_freq
47645761dc56bb8c5fae00114b768b5d9b6e917c3aec07c4,223,16,260,1,6,32,2,42,185,0,0,1,5,1,2,1,1,3,27,2,1983,50,0,0,0,0,53,2019,1970,0,18792
9c7fa510616a683058ce97d0bc768a621cd85ab1e87da2a3,222,5,327,1,1,1,2,45,335,0,1,1,3,1,2,1,14,3,1,2,2344,10,0,0,0,0,1,2017,1970,0,337
59b38c56de3836838082cfcb1a298951abfe15e6940c49ba,202,10,141,1,6,32,2,43,63,0,0,1,2,1,1,1,1,3,27,2,1983,100,0,0,0,0,53,2020,1970,0,18792
e9f7b28ec10e047000d16ab79e1b5e6da434a1697cce7818,221,14,167,0,13,16,2,44,275,0,1,1,2,1,2,1,33,3,1,2,1983,10,0,0,0,0,28,2015,1970,0,18792
f000950527a6feb63ee1ce82bb22ddd1ab8b8fdffa3b91fb,202,10,100,1,6,29,3,1,165,0,0,1,4,1,2,1,1,3,1,2,1983,100,0,0,0,0,49,2017,2067,50,18792
da8691b210adb3f67820f5e0c87b337d63112cee52211888,207,10,134,1,1,1,2,46,36,0,0,1,1,1,2,1,14,3,1,2,3244,10,0,0,0,0,1,2019,1970,0,1
9c7fa510616a6830b878f3c8c4317d93e1b022e7f22ae231,222,5,318,1,1,1,2,47,175,0,1,1,5,1,2,1,14,3,1,2,585,20,0,0,0,0,1,2020,1970,0,1
9c7fa510616a68309e4badf2a7a3123c0462fb85bf28ef17,222,5,329,1,1,1,2,45,335,0,1,1,7,1,2,1,14,3,1,2,2344,15,0,0,0,0,1,2017,1970,0,337
216bd2aaf4d07924b4a106be25791281e2a6d9e54eaee13b,203,16,265,1,6,9,2,48,61,0,0,1,2,1,2,1,1,3,1,2,1983,300,0,0,0,0,14,2020,1970,0,18792
743e550a617316d5772a00182284976e17d42b6f0ca6d374,208,5,317,1,1,1,2,49,229,0,1,1,6,1,2,1,14,3,1,2,2840,10,0,0,0,0,1,2016,1970,0,1
47645761dc56bb8c2e69442a3fb23e64cca201c0373b5336,223,16,260,1,6,29,2,42,72,0,0,1,10,1,2,1,1,3,1,2,1983,500,0,0,0,0,49,2020,1970,0,18792
f000950527a6feb646b54f7874d7681533f53942a6d9cc08,202,13,35,1,6,29,2,1,331,0,0,1,3,1,2,1,1,3,1,2,1983,5000,0,0,0,0,49,2019,2069,50,18792
f000950527a6feb6ed308bc4c7ae11276eab86480f8e03db,203,16,272,1,6,29,2,48,385,0,1,1,4,1,2,1,1,3,1,2,1983,500,0,0,0,0,49,2016,2066,50,18792
f000950527a6feb617e8d6ca7025dcf9d765429969122069,202,10,139,1,6,29,2,1,331,0,1,1,4,1,2,1,1,3,1,2,1983,40,0,0,0,0,49,2018,2068,50,18792
f1c1045b13d183295de5542196ec37fb5c6e28b97b167905,225,5,329,1,1,1,2,19,352,0,0,1,1,1,2,1,14,2,1,2,1071,50,0,0,0,0,1,2020,1970,0,1
755db3b5c5f74eb48564a8be9d4a9d7038ed96bc2eea645c,223,5,331,1,1,1,2,34,369,0,1,1,2,1,2,1,14,3,1,2,1906,35,0,0,0,0,1,2018,1970,0,1
d8071a739aa75a3b582859238697138fa8552bf5301ede26,207,5,18,1,6,32,2,50,261,0,0,1,5,1,2,1,1,3,2,2,1983,50,0,0,0,0,2,2019,2069,50,18792
e9f7b28ec10e0470287f274dd5a327519e74d2eb9506faad,221,14,167,1,6,24,2,44,275,0,1,1,4,1,2,1,1,3,1,2,1983,20000,0,0,0,0,41,2016,1970,0,18792
59b38c56de3836835f2a6002365168aa9eccd9b8e81cf5d2,202,17,99,0,13,11,2,43,104,0,1,1,20,1,3,1,1,3,12,2,1983,1100,100,0,0,0,23,2018,2048,30,18792
d8071a739aa75a3b5863ddfcdf66638aa5e2b6fa3e88ac6d,207,5,18,1,6,29,2,50,261,0,0,1,2,1,2,1,1,3,1,2,1983,1100,0,0,0,0,49,2019,1970,0,18792
59b38c56de383683ffa25f4c7617dc6bff2829c68ec36c9e,202,17,99,1,13,11,2,43,104,0,1,1,5,1,2,1,1,3,12,2,1983,310,120,0,0,0,23,2017,2047,30,18792
f1c1045b13d1832973f6992b3a7c3749a2b38bd92e6e44f2,225,5,314,1,1,1,2,11,139,0,1,1,2,1,2,1,14,3,1,2,4975,10,0,0,0,0,1,2019,1970,0,1
f1c1045b13d183299c7eb7b7cc50500bb79b0df58af030c7,225,5,327,1,1,1,2,75,62,0,1,1,4,1,2,1,14,3,1,2,2608,100,0,0,0,0,1,2018,1970,0,1
f000950527a6feb6aab24470ddb892aabfcb6c78801e8c59,202,16,272,1,6,29,2,43,331,0,0,1,2,1,2,1,1,3,1,2,1983,200,0,0,0,0,49,2018,1970,0,18792
d8071a739aa75a3b3e185d964bb930dc9a3c274cee3521a5,207,15,37,1,6,29,2,50,64,0,0,1,2,1,2,1,1,3,1,2,1983,500,0,0,0,0,49,2020,1970,0,18792
47e3664e12f3ce74afcef4503c97a1fce7165ba542a3bbd2,222,6,296,1,6,32,2,61,40,0,0,1,3,1,2,1,1,3,27,2,1983,300,0,0,0,0,53,2019,1970,0,18792
f000950527a6feb614ac1573a3efbd8e66ae21e4585496d1,202,5,316,1,6,32,2,1,331,0,0,1,3,1,2,1,1,3,27,2,1983,10,0,0,0,0,53,2018,2068,50,18792
4a8fc4f3fb4d8a0f2bcf911d98ea36a50f3f98a31c7fc037,203,5,18,1,1,1,2,59,354,0,1,1,4,1,2,1,14,3,1,2,2375,10,0,0,0,0,1,2017,1970,0,1
f000950527a6feb6253f50f16bd8640f3bc1fa52d1fdbe29,207,14,212,1,13,11,2,1,385,0,1,1,5,1,2,1,1,3,12,2,1983,500,0,0,0,0,23,2016,2046,30,18792
e9f7b28ec10e047047e0c9680139c31f55a748cf78de34a5,221,16,272,1,6,32,3,44,320,0,1,1,15,1,2,1,1,3,3,2,1983,1000,0,0,0,0,3,2018,2068,50,18792
47645761dc56bb8c409e728435500c9a56091bae81827729,223,16,257,1,6,32,2,42,344,0,1,1,1,1,2,1,1,3,27,2,1983,100,0,0,0,0,53,2018,2028,10,18792
beb4aaaa89e0a0ae8ea2d29a1b6a0529485d4a0298365d82,202,5,18,1,1,1,3,28,101,0,0,1,4,1,2,1,14,3,1,2,3507,10,0,0,0,0,1,2018,1970,0,1
82750f1b9d1223508562c25a4ba13748fce53b07a66034b7,208,16,265,1,6,32,2,62,201,0,0,1,2,1,2,1,1,3,27,2,1983,501,0,0,0,0,53,2019,1970,0,18792
d8071a739aa75a3b53464f407792fea1ebedce7d99f3bbd8,207,16,254,1,6,32,2,50,64,0,0,1,3,1,1,1,1,3,27,2,1983,100,0,0,0,0,53,2020,1970,0,18792
516ab81418ed215d9117558922a947fb7ce719d66be92960,225,16,258,1,6,29,2,3,107,0,0,1,2,1,2,1,1,3,1,2,1983,600,0,0,0,0,49,2019,1970,0,18792
4a8fc4f3fb4d8a0f2ce5a90e581a6adbaa82191110db4834,203,5,316,1,1,1,3,7,244,0,1,1,2,1,2,1,14,3,1,2,1983,12,0,0,0,0,1,2019,1970,0,18792
9c7fa510616a6830524137e997703e0b75ab058cd7bdcc5a,222,5,327,1,1,1,2,45,335,0,1,1,1,1,2,1,14,3,1,2,2344,10,0,0,0,0,1,2019,1970,0,337
ed38190adf12fcebce93dc1a8b001cafeaac0ba025c1596e,200,5,18,1,1,1,2,9,349,0,0,1,6,1,2,1,14,3,1,2,4931,50,0,0,0,0,1,2019,1970,0,1
f000950527a6feb6a96858239b4f67f0cb703e06e056f371,202,14,212,0,6,32,2,1,385,0,1,1,4,1,2,1,1,3,2,2,1983,100,0,0,0,0,2,2016,1970,0,18792
216bd2aaf4d079243be11f25a29ccd296bbfc52e13d4ef59,203,10,144,1,6,32,2,48,302,0,0,1,3,1,2,1,1,3,27,2,1983,500,0,0,0,0,53,2019,1970,0,18792
da8691b210adb3f6334a7abb56fbae858620b23304f160b5,207,5,317,1,1,1,2,64,167,0,1,1,1,1,2,1,14,3,1,2,1983,20,0,0,0,0,1,2014,1970,0,18792
d8071a739aa75a3b39a3135e50f10cd6069a1d7b308ea3d6,207,16,265,1,6,32,2,50,261,0,0,1,2,1,2,1,1,3,27,2,1983,50,0,0,0,0,53,2019,2069,50,18792
47645761dc56bb8c9cf4307e6927e265abd90cc69d8a52f4,223,13,34,1,6,29,3,42,392,0,0,1,5,1,2,1,1,3,1,2,1983,100,0,0,0,0,49,2018,1970,0,18792
e9f7b28ec10e0470456acb73d91e22d632144eec10b05721,221,10,109,1,6,32,2,44,71,0,0,1,2,1,1,1,1,3,27,2,1983,100,0,0,0,0,53,2020,2070,50,18792
d8071a739aa75a3b192bea0840fd18104e7d08ea781e8e1a,207,16,258,1,6,29,2,50,64,0,0,1,3,1,2,1,1,3,1,2,1983,6000,0,0,0,0,49,2020,1970,0,18792
755db3b5c5f74eb46a9abdca3e43a99d07c4aacee3d2cb0d,223,5,327,1,1,1,3,34,369,0,1,1,3,1,2,1,14,3,1,2,648,10,0,0,0,0,1,2017,1970,0,1
59b38c56de38368337c02379fdffc96b88f8609224b95bbd,200,10,133,1,13,16,2,43,104,0,1,1,10,1,2,1,33,3,1,2,1983,100,0,0,0,0,28,2015,1970,0,18792
216bd2aaf4d079246cf25050093c7319f519fbc84bdf5e27,203,5,327,1,6,32,2,48,157,0,0,1,3,1,2,1,1,3,27,2,1983,100,0,0,0,0,53,2019,1970,0,18792
d8071a739aa75a3be4b1e02a8207252f5ce90fd8a8a2eb0f,207,5,18,1,6,32,2,50,64,0,0,1,2,1,2,1,1,3,27,2,1983,100,0,0,0,0,53,2020,1970,0,18792
755db3b5c5f74eb4ae35ba75629b0e38f837653d747278ba,223,5,318,1,1,1,2,35,374,0,1,1,5,1,2,1,14,3,1,2,1983,30,0,0,0,0,1,2018,1970,0,18792
82750f1b9d122350ca3a33dc395c5472f7182c5e446b34d7,208,16,272,1,6,29,7,62,217,0,1,1,4,1,2,1,1,3,1,2,1983,500,0,0,0,0,49,2017,2047,30,18792
beb4aaaa89e0a0aebbe01749016147410c9609852fa28258,202,10,118,1,1,1,2,29,93,0,1,1,2,1,2,1,14,3,1,2,2971,15,0,0,0,0,1,2019,1970,0,1
d8071a739aa75a3b4634331153e4228e5f2196ccb2568ad5,207,5,327,1,6,32,3,50,53,0,1,1,4,1,2,1,1,3,27,2,1983,50,0,0,0,0,53,2015,2065,50,18792
59b38c56de3836838a5233da7889700a22933d4758051aac,202,10,109,1,6,29,2,43,67,0,0,1,2,1,2,1,1,3,1,2,1983,10,0,0,0,0,49,2019,1970,0,18792
4a8fc4f3fb4d8a0f3a3f6618932ae0deabc2c963f6e1c5ae,203,5,316,1,1,1,2,57,311,0,1,1,10,1,2,1,14,3,1,2,1983,35,0,0,0,0,1,2019,1970,0,18792
47645761dc56bb8c6fd9e2e6e6688c7daabcecb25e15a969,223,16,258,1,6,32,2,42,344,0,1,1,1,1,2,1,1,3,27,2,1983,50,0,0,0,0,53,2018,1970,0,18792
8f19388cfd6e2b9c65930586f2bb6d24dd3b5b0b0da41d69,221,5,18,1,1,1,3,71,205,0,0,1,2,1,2,1,14,3,1,2,1536,10,0,0,0,0,1,2017,1970,0,3
9c7fa510616a68309f6abc715074eb6cc593afd8f23ae7d2,222,5,327,1,1,1,2,45,335,0,1,1,2,1,2,1,14,3,1,2,2344,80,0,0,0,0,1,2019,1970,0,337
